timestamp_kst,question,intent,confidence,reasons,raw
2025-08-11 04:46:33+0900,30대 남성 인기 웹툰,현황,0.900,사용자가 30대 남성의 인기 웹툰에 대한 통계나 랭킹을 요청하고 있기 때문에 '현황'으로 분류했습니다.,"{""intent"":""현황"", ""confidence"":0.9, ""reasons"":""사용자가 30대 남성의 인기 웹툰에 대한 통계나 랭킹을 요청하고 있기 때문에 '현황'으로 분류했습니다.""}"
2025-08-11 04:51:16+0900,30대 남성 인기 웹툰,현황,0.900,사용자가 30대 남성의 인기 웹툰에 대한 통계나 랭킹을 요청하고 있기 때문에 '현황'으로 분류됨.,"{""intent"":""현황"", ""confidence"":0.9, ""reasons"":""사용자가 30대 남성의 인기 웹툰에 대한 통계나 랭킹을 요청하고 있기 때문에 '현황'으로 분류됨.""}"
2025-08-11 04:51:32+0900,20대 남성 인기 웹툰,현황,0.900,사용자가 20대 남성에게 인기 있는 웹툰에 대한 통계나 랭킹을 요청하고 있기 때문에 '현황'으로 분류됨.,"{""intent"":""현황"", ""confidence"":0.9, ""reasons"":""사용자가 20대 남성에게 인기 있는 웹툰에 대한 통계나 랭킹을 요청하고 있기 때문에 '현황'으로 분류됨.""}"
2025-08-11 04:51:56+0900,드라마로 만들만한 인기 웹툰,추천,0.900,"사용자가 '드라마로 만들만한 인기 웹툰'을 요청했기 때문에, 이는 2차 창작 목적의 웹툰 추천으로 분류된다.","{""intent"":""추천"", ""confidence"":0.9, ""reasons"":""사용자가 '드라마로 만들만한 인기 웹툰'을 요청했기 때문에, 이는 2차 창작 목적의 웹툰 추천으로 분류된다.""}"
2025-08-11 05:17:02+0900,30대 남성 인기 웹툰,현황,0.900,사용자가 30대 남성의 인기 웹툰에 대한 통계나 랭킹을 요청하고 있기 때문에 '현황'으로 분류했습니다.,"{""intent"":""현황"", ""confidence"":0.9, ""reasons"":""사용자가 30대 남성의 인기 웹툰에 대한 통계나 랭킹을 요청하고 있기 때문에 '현황'으로 분류했습니다.""}"
2025-08-11 05:19:08+0900,외모지상주의 줄거리,정보,0.900,질문에서 '줄거리'라는 단어가 사용되어 작품에 대한 정보를 요청하고 있기 때문입니다.,"{""intent"":""정보"", ""confidence"":0.9, ""reasons"":""질문에서 '줄거리'라는 단어가 사용되어 작품에 대한 정보를 요청하고 있기 때문입니다.""}"
2025-08-11 10:23:57+0900,요즘 핫한 웹툰,현황,0.900,"사용자가 '요즘 핫한 웹툰'에 대한 정보를 요청하고 있어, 이는 통계나 순위와 관련된 질문으로 해석됨.","{""intent"":""현황"", ""confidence"":0.9, ""reasons"":""사용자가 '요즘 핫한 웹툰'에 대한 정보를 요청하고 있어, 이는 통계나 순위와 관련된 질문으로 해석됨.""}"
2025-08-11 10:24:28+0900,db에 있는 웹툰 리스트,현황,0.900,"질문에서 '웹툰 리스트'라는 특정 통계나 데이터 요청이 포함되어 있어, 조회수나 구독자 수와 같은 현황 정보를 요구하는 것으로 해석됨.","{""intent"":""현황"", ""confidence"":0.9, ""reasons"":""질문에서 '웹툰 리스트'라는 특정 통계나 데이터 요청이 포함되어 있어, 조회수나 구독자 수와 같은 현황 정보를 요구하는 것으로 해석됨.""}"
2025-08-11 10:25:10+0900,20대 남성 최고 인기,현황,0.900,"질문에서 '20대 남성 최고 인기'라는 특정 통계나 순위를 요청하고 있어, 이는 현황에 해당하는 정보로 분류됩니다.","{""intent"":""현황"", ""confidence"":0.9, ""reasons"":""질문에서 '20대 남성 최고 인기'라는 특정 통계나 순위를 요청하고 있어, 이는 현황에 해당하는 정보로 분류됩니다.""}"
2025-08-11 10:56:14+0900,가장 핫한 웹툰,현황,0.900,"사용자가 '가장 핫한 웹툰'에 대한 정보를 요청하고 있어, 이는 통계나 순위와 관련된 질문으로 해석됨.","{""intent"":""현황"", ""confidence"":0.9, ""reasons"":""사용자가 '가장 핫한 웹툰'에 대한 정보를 요청하고 있어, 이는 통계나 순위와 관련된 질문으로 해석됨.""}"
2025-08-11 11:07:39+0900,30대 남성 인기 웹툰,현황,0.900,사용자가 30대 남성의 인기 웹툰에 대한 통계나 랭킹을 요청하고 있기 때문에 '현황'으로 분류했습니다.,"{""intent"":""현황"", ""confidence"":0.9, ""reasons"":""사용자가 30대 남성의 인기 웹툰에 대한 통계나 랭킹을 요청하고 있기 때문에 '현황'으로 분류했습니다.""}"
2025-08-11 17:18:35+0900,가장 핫한 웹툰,현황,0.900,"사용자가 '가장 핫한 웹툰'에 대한 정보를 요청하고 있어, 이는 통계나 순위와 관련된 질문으로 해석됨.","{""intent"":""현황"", ""confidence"":0.9, ""reasons"":""사용자가 '가장 핫한 웹툰'에 대한 정보를 요청하고 있어, 이는 통계나 순위와 관련된 질문으로 해석됨.""}"
